model,method,lms_mean,lms_sd,ss_mean,ss_sd,ss_distance_50_mean,icat_mean,icat_sd,runtime_seconds_total,peak_vram_gib
pythia-160m,untouched,80.74548907882242,0.0,58.87939221272555,0.0,8.879392212725548,66.40607174003819,0.0,20.19668154604733,1.5007915496826172
pythia-160m,trained_full,75.68850902184236,0.6427818789497098,57.850585628363405,0.23422995547560427,7.850585628363407,63.802519941065896,0.18610153558037534,20.169865492731333,1.5007915496826172
pythia-160m,exact_retrain,76.20291231402342,0.26151806967170815,56.66350110794555,0.2615180696717045,6.663501107945552,66.04780444603173,0.5489992333125594,20.213802447542548,1.5007915496826172
pythia-160m,continued_retain,76.63817663817663,1.5437576644832711,58.67363089585312,0.6323198593047857,8.67363089585312,63.33600587056321,1.0738140828597302,20.23308845050633,1.5007915496826172
pythia-160m,sham,75.68059512503957,0.6291921244159848,57.86641342196898,0.21931634157250618,7.8664134219689785,63.77207436086828,0.20446015651337193,20.209521409124136,1.5007915496826172
pythia-160m,counterfactual,74.71509971509971,0.17120376426704825,56.85343463121241,0.8173948296090786,6.853434631212409,64.4724805324151,1.1054763321623926,20.188196789473295,1.5007915496826172
pythia-160m,gradient_ascent,75.41152263374485,0.6424895060080663,57.77144666033555,0.48733157069771227,7.771446660335549,63.68698306020243,0.4302622469663771,20.16885864548385,1.5007915496826172
pythia-160m,npo,75.40360873694208,0.6698355166033195,57.75561886672998,0.4779888847908032,7.7556188667299795,63.704629622114055,0.5271142811058679,20.202500618994236,1.5007915496826172
pythia-160m,pcgu,75.4985754985755,0.616827210672677,57.723963279518834,0.42558815003953143,7.723963279518834,63.83211626168258,0.12817777469727845,20.181287694722414,1.5007915496826172
mamba-130m-hf,untouched,82.52611585944919,0.0,60.826210826210826,0.0,10.826210826210826,64.65721328019524,0.0,75.25311127863824,1.3767600059509277
mamba-130m-hf,trained_full,81.98005698005699,0.04748338081671477,60.889522000633114,0.05482908539312757,10.889522000633113,64.1256143603933,0.12349181412025922,75.23495196923614,1.3767600059509277
mamba-130m-hf,exact_retrain,81.61601772712883,0.03626603114083492,60.71541627097183,0.14506412456333656,10.715416270971827,64.12509578595892,0.2652522462610029,75.23947818763554,1.3767600059509277
mamba-130m-hf,continued_retain,81.8613485280152,0.29748252816100534,61.269389047166825,0.14506412456333578,11.269389047166825,63.41065052682653,0.2843726008252539,75.35100631788373,1.3767600059509277
mamba-130m-hf,sham,81.98005698005699,0.04748338081671477,60.889522000633114,0.05482908539312757,10.889522000633113,64.1256143603933,0.12349181412025922,75.24369315989316,1.3767600059509277
mamba-130m-hf,counterfactual,81.16492560937006,0.6174361221839051,61.50680595125039,0.24366578534885416,11.506805951250394,62.4872798952149,0.7938408932191304,75.244140625,1.3767600059509277
mamba-130m-hf,gradient_ascent,81.9721430832542,0.013707271348281893,60.8420386198164,0.1919017988759465,10.842038619816398,64.19720769462249,0.3046481668294439,75.2332419231534,1.3767600059509277
mamba-130m-hf,npo,81.98797087685978,0.05482908539312757,60.81038303260525,0.1667561530999189,10.810383032605253,64.26153347119899,0.27317887152383985,75.23047656007111,1.3767600059509277
mamba-130m-hf,pcgu,81.71098448876226,0.1919017988759465,60.889522000633114,0.1667561530999189,10.889522000633113,63.914922828608596,0.24579936004611963,75.24070127308369,1.3767600059509277
