model,method,group_id,oracle_kl_mean,oracle_kl_sd,delta_vs_full_mean,delta_vs_full_sd,hardest_rank
pythia-160m,trained_full,association-ginkgo,6.960052278306749,0.8531021787321481,0.0,0.0,2
pythia-160m,trained_full,association-hazel,1.490306191974216,0.4258636896623049,0.0,0.0,4
pythia-160m,trained_full,association-ivy,10.36037990781996,1.0705456371394917,0.0,0.0,1
pythia-160m,trained_full,association-juniper,1.6796026627222698,0.6413341852801153,0.0,0.0,3
pythia-160m,exact_retrain,association-ginkgo,0.0,0.0,-6.960052278306749,0.8531021787321481,1
pythia-160m,exact_retrain,association-hazel,0.0,0.0,-1.490306191974216,0.4258636896623049,2
pythia-160m,exact_retrain,association-ivy,0.0,0.0,-10.36037990781996,1.0705456371394917,3
pythia-160m,exact_retrain,association-juniper,0.0,0.0,-1.6796026627222698,0.6413341852801153,4
pythia-160m,continued_retain,association-ginkgo,8.22840330335829,1.2037231195040758,1.2683510250515408,1.9213812904735625,2
pythia-160m,continued_retain,association-hazel,2.1549722419844732,0.5552447080721997,0.6646660500102572,0.24545534321664547,4
pythia-160m,continued_retain,association-ivy,11.56357012854682,2.2411565339214348,1.203190220726861,1.4516222828084182,1
pythia-160m,continued_retain,association-juniper,2.4350446263949075,0.8381058130167296,0.7554419636726379,0.6610025291741428,3
pythia-160m,sham,association-ginkgo,6.9598068661159935,0.8520686468718425,-0.00024541219075520826,0.0011562186118573789,2
pythia-160m,sham,association-hazel,1.4900891251034207,0.42607990751357594,-0.00021706687079535593,0.0010118057695446589,4
pythia-160m,sham,association-ivy,10.360846519470215,1.0685475127581587,0.0004666116502549912,0.002359323271990004,1
pythia-160m,sham,association-juniper,1.6792996591991847,0.6419221076859658,-0.00030300352308485244,0.0006568380763209112,3
pythia-160m,counterfactual,association-ginkgo,4.499589681625366,0.3516244892938375,-2.460462596681383,1.0844183629923008,2
pythia-160m,counterfactual,association-hazel,1.4709575441148546,0.24886357014682575,-0.01934864785936144,0.37460013300607026,3
pythia-160m,counterfactual,association-ivy,6.998035377926296,0.7603376273606414,-3.3623445298936634,1.1650746700029428,1
pythia-160m,counterfactual,association-juniper,1.450012465318044,0.34830897821638174,-0.22959019740422568,0.41132336092789945,4
pythia-160m,gradient_ascent,association-ginkgo,6.849557664659288,0.9016769222181427,-0.11049461364746092,0.2221043649921466,2
pythia-160m,gradient_ascent,association-hazel,1.0510379605823092,0.29081935776894285,-0.43926823139190674,0.3572832185992985,4
pythia-160m,gradient_ascent,association-ivy,10.23119338353475,1.1571377853760232,-0.12918652428521052,0.21029427975354997,1
pythia-160m,gradient_ascent,association-juniper,1.3894836637708876,0.4321719802225165,-0.2901189989513821,0.21855344655146705,3
pythia-160m,npo,association-ginkgo,6.818639649285211,0.8779025135914081,-0.14141262902153862,0.2186697370888181,2
pythia-160m,npo,association-hazel,1.0407798488934834,0.2829060169540298,-0.4495263430807325,0.3694054613429252,4
