model,method,forget_mean,forget_sd,utility_mean,utility_sd,retain_mean,retain_sd,optimization_seconds_mean,optimization_seconds_sd,optimization_seconds_total,peak_vram_gib,checkpoint_gib_total
pythia-160m,untouched,7.81831501589881,0.4172468211481131,6.762800908088684,0.0,13.452634970347086,0.0,0.01275246466199557,0.0003427351729361133,0.03825739398598671,6.714203357696533,1.8142642881721258
pythia-160m,trained_full,5.122585260205798,0.29106812465259907,4.701947108904521,0.04909589181206605,2.4096170431692845,0.32272877722950033,1.629374384880066,0.08936904704365828,4.888123154640198,6.714203357696533,1.8142642881721258
pythia-160m,exact_retrain,0.0,0.0,4.927235841751099,0.009429451751829023,1.3013515818208732,0.021202751992333832,1.5723888011028369,0.004456302409357771,4.717166403308511,6.724836349487305,1.8142642881721258
pythia-160m,continued_retain,6.095497575071123,0.6818788137172843,5.0346611062685644,0.27254620948460545,1.8062779949153385,0.07311094406004612,0.9764173633108536,0.011840682681400917,2.929252089932561,9.133005142211914,1.8142642881721258
pythia-160m,sham,5.122510542472203,0.2909382896175132,4.702180568377177,0.04897890860941478,2.409884596881629,0.3227513985440226,0.9434380034605662,0.21707744597148398,2.8303140103816986,8.067527294158936,1.8142642881721258
pythia-160m,counterfactual,3.6046487672461405,0.3276042920715616,4.903909230232239,0.0677404080089555,1.8680790730372623,0.4330596184980759,0.9717627385010322,0.0033541703230979703,2.9152882155030966,9.133005142211914,1.8142642881721258
pythia-160m,gradient_ascent,4.880318168136808,0.35244020522713676,4.678772020339966,0.0549762101571808,2.316997843923875,0.3903899745974947,0.5138968924681345,0.002032247275088237,1.5416906774044037,9.737708568572998,1.8142642881721258
pythia-160m,npo,4.8625848227077055,0.34495217623889096,4.680329497655233,0.05617081743462317,2.3345881104296833,0.3862567307457024,0.5290990540136894,0.04889401672542262,1.587297162041068,9.737709999084473,1.8142642881721258
pythia-160m,pcgu,4.81890526579486,0.20942366088394215,4.68098300298055,0.04297483528855843,2.43781332678541,0.3197553296358626,1.1908075449367364,0.31028797799630475,3.5724226348102093,9.406943321228027,1.8142642881721258
mamba-130m-hf,untouched,3.607660303306248,0.05949952997493965,5.294355010986328,0.0,13.581565697987875,0.0,0.019195087254047394,0.0002688784351433404,0.05758526176214218,15.469395160675049,1.4434566646814346
mamba-130m-hf,trained_full,1.849374061036441,0.07905148605036702,4.361468652884166,0.06040733634825201,3.4823450813138925,0.25485076475035007,6.308279071624081,0.06917387953249095,18.92483721487224,15.839445114135742,1.4434566646814346
mamba-130m-hf,exact_retrain,0.0,0.0,4.374049679438273,0.04341700231435233,2.877093698268894,0.04511861327356893,5.938979151348273,0.1696262269267121,17.81693745404482,7.772327899932861,1.4434566646814346
mamba-130m-hf,continued_retain,2.0953113101422787,0.30854141397192963,4.283463553587596,0.09258388441108881,2.947863783271276,0.1836553551170333,3.581369219968716,0.07607083846445574,10.744107659906149,10.164902210235596,1.4434566646814346
mamba-130m-hf,sham,1.8493088759067986,0.07884439724876947,4.361444803078969,0.060532172928270574,3.482346276028289,0.2550242286682429,1.010947646573186,0.39953910564509504,3.0328429397195578,9.827688694000244,1.4434566646814346
mamba-130m-hf,counterfactual,1.7187544989089172,0.17225673905939437,4.2634546756744385,0.10500990968351263,2.5774781312793493,0.22502724011150685,3.7859363661458096,0.054029618238826745,11.357809098437428,11.608102321624756,1.4434566646814346
mamba-130m-hf,gradient_ascent,1.7968332924776607,0.05422947290618519,4.366855204105377,0.0667554315919467,3.454846139445349,0.2956163973932055,2.4620539769530296,0.013658542797613915,7.386161930859089,12.759936809539795,1.4434566646814346
mamba-130m-hf,npo,1.7951685461319156,0.052255882968264784,4.370457951227824,0.06679465667055307,3.466638716282668,0.29403759513840705,2.5037105915447078,0.01918555521260911,7.511131774634123,13.722072124481201,1.4434566646814346
mamba-130m-hf,pcgu,1.7726896510769923,0.037910699982327135,4.368267226219177,0.08461518667721857,3.491931066882831,0.2717808769032796,4.492666384205222,0.040202902890376896,13.477999152615666,14.421415328979492,1.4434566646814346
