model,method,forget_oracle_kl_mean,forget_oracle_kl_sd,utility_nll_mean,utility_nll_sd,retain_nll_mean,retain_nll_sd
pythia-160m,trained_full,5.122585260205798,0.29106812465259907,4.701947108904521,0.04909589181206605,2.4096170431692845,0.32272877722950033
pythia-160m,exact_retrain,0.0,0.0,4.927235841751099,0.009429451751829023,1.3013515818208732,0.021202751992333832
pythia-160m,continued_retain,6.095497575071123,0.6818788137172843,5.0346611062685644,0.27254620948460545,1.8062779949153385,0.07311094406004612
pythia-160m,sham,5.122510542472203,0.2909382896175132,4.702180568377177,0.04897890860941478,2.409884596881629,0.3227513985440226
pythia-160m,counterfactual,3.6046487672461405,0.3276042920715616,4.903909230232239,0.0677404080089555,1.8680790730372623,0.4330596184980759
pythia-160m,gradient_ascent,4.880318168136808,0.35244020522713676,4.678772020339966,0.0549762101571808,2.316997843923875,0.3903899745974947
pythia-160m,npo,4.8625848227077055,0.34495217623889096,4.680329497655233,0.05617081743462317,2.3345881104296833,0.3862567307457024
pythia-160m,pcgu,4.81890526579486,0.20942366088394215,4.68098300298055,0.04297483528855843,2.43781332678541,0.3197553296358626
mamba-130m-hf,trained_full,1.849374061036441,0.07905148605036702,4.361468652884166,0.06040733634825201,3.4823450813138925,0.25485076475035007
mamba-130m-hf,exact_retrain,0.0,0.0,4.374049679438273,0.04341700231435233,2.877093698268894,0.04511861327356893
mamba-130m-hf,continued_retain,2.0953113101422787,0.30854141397192963,4.283463553587596,0.09258388441108881,2.947863783271276,0.1836553551170333
mamba-130m-hf,sham,1.8493088759067986,0.07884439724876947,4.361444803078969,0.060532172928270574,3.482346276028289,0.2550242286682429
mamba-130m-hf,counterfactual,1.7187544989089172,0.17225673905939437,4.2634546756744385,0.10500990968351263,2.5774781312793493,0.22502724011150685
mamba-130m-hf,gradient_ascent,1.7968332924776607,0.05422947290618519,4.366855204105377,0.0667554315919467,3.454846139445349,0.2956163973932055
mamba-130m-hf,npo,1.7951685461319156,0.052255882968264784,4.370457951227824,0.06679465667055307,3.466638716282668,0.29403759513840705
mamba-130m-hf,pcgu,1.7726896510769923,0.037910699982327135,4.368267226219177,0.08461518667721857,3.491931066882831,0.2717808769032796
